,date,open,high,low,close,volumn,tic,openinterest,day
946,2021-09-24,173.37,176.0,173.3,168.94,2680400,AXP,0,4
947,2021-09-27,177.67,178.8,176.33,169.95,3703300,AXP,0,0
948,2021-09-28,175.49,177.24,172.69,166.46,3862200,AXP,0,1
949,2021-09-29,172.89,172.98,170.4,164.92,2726100,AXP,0,2
950,2021-09-30,172.18,172.36,167.41,161.07,3088200,AXP,0,3
951,2021-10-01,168.5,175.12,168.48,167.23,3956000,AXP,0,4
952,2021-10-04,173.88,177.23,171.88,166.0,3613900,AXP,0,0
953,2021-10-05,173.43,176.06,172.64,168.02,2629400,AXP,0,1
954,2021-10-06,172.55,174.9,169.9,166.71,2922200,AXP,0,2
955,2021-10-07,175.5,176.87,173.7,167.98,3578800,AXP,0,3
956,2021-10-08,173.85,176.98,173.53,168.81,2375300,AXP,0,4
957,2021-10-11,175.79,176.79,173.33,167.18,2499200,AXP,0,0
958,2021-10-12,173.61,176.56,173.1,168.58,3069500,AXP,0,1
959,2021-10-13,172.78,174.09,167.08,162.61,5608100,AXP,0,2
960,2021-10-14,171.0,172.38,169.81,165.3,3061900,AXP,0,3
961,2021-10-15,173.77,177.77,173.15,169.45,3043900,AXP,0,4
962,2021-10-18,175.58,177.61,174.33,170.42,2623300,AXP,0,0
963,2021-10-19,177.73,178.0,176.26,170.89,1400100,AXP,0,1
964,2021-10-20,176.95,179.77,176.21,173.1,2398500,AXP,0,2
965,2021-10-21,179.58,179.79,176.01,171.05,3313800,AXP,0,3
966,2021-10-22,185.0,189.03,182.2,180.31,6026100,AXP,0,4
967,2021-10-25,186.73,187.21,181.83,175.71,3889600,AXP,0,0
968,2021-10-26,183.42,183.5,177.52,174.4,3832200,AXP,0,1
969,2021-10-27,180.1,183.73,177.91,171.59,3309900,AXP,0,2
970,2021-10-28,178.4,179.23,173.02,168.29,4865700,AXP,0,3
971,2021-10-29,175.63,176.67,173.04,167.49,3455400,AXP,0,4
